App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver
Florida Cooling Supply HVAC,Productivity,4.2,6,43M,500+,Free,0,Everyone,"July 27, 2018",8.1.10.41,4.4 and up
GEM™,Tools,4.3,6,33M,500+,Free,0,Everyone,"July 23, 2018",1.93,5.0 and up
Do It Later: Tasks & To-Dos,Productivity,4.5,123412,Varies with device,"50,000,000+",Free,0,Everyone,"April 13, 2018",Varies with device,Varies with device
iBP Blood Pressure,Medical,4.4,578,704k,"10,000+",Paid,$0.99,Everyone,"November 30, 2014",7.0.1,2.2 and up
Metal Detector Pro 2015,Tools,3.6,1166,350k,"100,000+",Free,0,Everyone,"March 30, 2015",1.1,4.0 and up
B612 - Beauty & Filter Camera,Photography,4.4,5276983,Varies with device,"100,000,000+",Free,0,Everyone,"July 30, 2018",7.6.5,4.3 and up
Showtime Anytime,Entertainment,3.7,18523,Varies with device,"1,000,000+",Free,0,Teen,"July 2, 2018",Varies with device,Varies with device
Esporte Interativo - Notícias e Resultados Ao Vivo,Sports,4.4,4600,21M,"500,000+",Free,0,Everyone,"January 14, 2018",6.2.6,4.1 and up
A Call From Santa Claus!,Entertainment,3.9,3720,11M,"1,000,000+",Free,0,Everyone,"December 4, 2016",4.2.3,4.0.3 and up
Walk Freely (Ec Shlire),Tools,4.7,62,2.3M,"1,000+",Free,0,Everyone,"November 13, 2017",1.1.3,4.1 and up
GoBank,Finance,4.4,5950,12M,"500,000+",Free,0,Everyone,"June 1, 2018",2.131,4.1 and up
Zombie War Z : Hero Survival Rules,Action,3.9,1987,62M,"100,000+",Free,0,Mature 17+,"December 13, 2017",1.8,4.0.3 and up
Cheat Codes for GTA V,Entertainment,4.3,589,3.6M,"100,000+",Free,0,Mature 17+,"September 3, 2017",1.8.0,4.0 and up
HBO GO: Stream with TV Package,Entertainment,3.8,87734,32M,"10,000,000+",Free,0,Teen,"July 19, 2018",16.0.0.437,4.1 and up
"Length Converter: convert mm,cm,m, feet,yard,mile",Tools,4.7,76,2.2M,"50,000+",Free,0,Everyone,"April 5, 2018",1.4,4.0.3 and up
"Learn languages, grammar & vocabulary with Memrise",Education,4.7,1107903,Varies with device,"10,000,000+",Free,0,Everyone,"August 2, 2018",Varies with device,Varies with device
Zombie Avengers:(Dreamsky)Stickman War Z,Action,4.3,13604,96M,"1,000,000+",Paid,$0.99,Teen,"June 26, 2018",2.4.4,2.3 and up
BG Monitor Diabetes Pro,Medical,4.6,87,2.8M,500+,Paid,$5.99,Everyone,"April 23, 2017",8.0.1,4.4 and up
Bx Thailand Alert (Bitcoin),Finance,4.7,3,8.2M,100+,Free,0,Everyone,"February 5, 2018",1.0.2,4.2 and up
Speech Therapy: F,Education,1.0,1,16M,10+,Paid,$2.99,Everyone,"October 7, 2016",1.0,2.3.3 and up
"Yahoo Sports - scores, stats, news, & highlights",Sports,4.5,32386,19M,"1,000,000+",Free,0,Everyone,"August 1, 2018",7.8.0,5.1 and up
[ROOT] X Privacy Installer,Tools,4.2,12147,118k,"1,000,000+",Free,0,Everyone,"January 25, 2015",1.18,4.0.3 and up
DN Employee,Education,5.0,1,3.8M,10+,Free,0,Everyone,"June 25, 2018",1.4,4.4 and up
FREE Stock Market Trading Tips,Finance,3.9,714,3.6M,"50,000+",Free,0,Everyone,"June 7, 2017",2.10.3,2.3.3 and up
Family Savings CU Mobile,Finance,4.3,323,17M,"10,000+",Free,0,Everyone,"September 8, 2017",4.4.47,4.0.3 and up
Be like Bill Generator,Entertainment,4.2,67,6.5M,"5,000+",Free,0,Teen,"January 29, 2016",1.08,4.0.3 and up
Future Cloud,Productivity,4.6,1075,Varies with device,"100,000+",Free,0,Everyone,"January 22, 2018",Varies with device,4.4 and up
AS Guía de las Ligas 2017-2018,Sports,4.1,4374,53M,"100,000+",Free,0,Everyone,"September 14, 2017",1.0.10,4.1 and up
TRANSFORMERS: Forged to Fight,Action,4.6,291941,90M,"10,000,000+",Free,0,Everyone 10+,"July 27, 2018",6.3.2,4.0.3 and up
GlassesOff,Medical,3.5,1288,38M,"100,000+",Free,0,Everyone,"July 10, 2018",1.0.0.10,3.0 and up
Swamp Attack,Action,4.4,2119218,70M,"50,000,000+",Free,0,Everyone 10+,"June 29, 2018",3.0.1,4.1 and up
Best Browser BD social networking,Communication,4.8,6,21M,10+,Free,0,Everyone,"July 4, 2018",2.0,4.1 and up
Hunting Safari 3D,Sports,4.2,36183,20M,"5,000,000+",Free,0,Teen,"January 20, 2018",1.4,2.1 and up
Live DV,Photography,2.0,16,17M,"1,000+",Free,0,Everyone,"May 9, 2018",1.0.6,4.4 and up
BatControl Pro,Tools,4.9,83,3.1M,500+,Paid,$3.99,Everyone,"June 1, 2018",2.0.0,5.0 and up
IDM Internet Download Manager,Productivity,3.9,1322,4.2M,"100,000+",Free,0,Everyone,"October 25, 2016",1.0.4,4.2 and up
Alipay,Finance,3.4,42497,61M,"1,000,000+",Free,0,Teen,"July 2, 2018",10.1.28.560,4.3 and up
REI Co-op Mastercard,Finance,2.9,320,23M,"10,000+",Free,0,Everyone,"June 14, 2018",2.13.11,4.4 and up
FC Barcelona Official Keyboard,Sports,4.7,5229,20M,"500,000+",Free,0,Everyone,"May 17, 2018",2.1.0.0.15734,4.1 and up
Amazon Prime Video,Entertainment,4.2,411683,24M,"50,000,000+",Free,0,Teen,"August 2, 2018",3.0.231.18141,4.1 and up
Scale Models DB,Tools,4.4,9,33M,50+,Paid,$2.99,Everyone,"May 3, 2018",0.6.2,4.3 and up
T-Mobile in,Finance,3.5,3856,8.2M,"1,000,000+",Free,0,Everyone,"July 31, 2018",3.2.1,4.4 and up
Power BI Ultimate Orientation,Education,4.3,12,8.1M,"5,000+",Free,0,Everyone,"February 6, 2017",1.0.1,4.0 and up
Basket Manager 2016 Pro,Sports,4.5,117,4.4M,"1,000+",Paid,$0.99,Everyone,"February 9, 2017",2.9,4.1 and up
Monash Uni Low FODMAP Diet,Medical,4.2,1135,12M,"100,000+",Paid,$9.00,Everyone,"July 16, 2018",2.0.7,4.0 and up
The Gang Sniper V. Pocket Edition.,Action,3.9,6121,61M,"500,000+",Free,0,Mature 17+,"June 20, 2018",2.1,4.1 and up
"edX - Online Courses by Harvard, MIT & more",Education,4.6,32381,10M,"1,000,000+",Free,0,Everyone 10+,"July 15, 2018",2.15.1,4.1 and up
DM 24/7,Tools,3.6,7,16M,"1,000+",Free,0,Everyone,"August 1, 2018",2.3,2.3.3 and up
CJ Fallon eBook Reader,Education,1.9,76,14M,"5,000+",Free,0,Everyone,"February 13, 2014",2.2.1,3.0 and up
CT Neck,Medical,4.4,7,8.9M,"1,000+",Free,0,Everyone,"January 20, 2018",2.0,4.0 and up
BS Generator,Entertainment,4.2,5,3.3M,100+,Free,0,Everyone,"July 23, 2016",1.1,4.4 and up
Br Shafi,Education,4.9,1288,26M,"10,000+",Free,0,Everyone,"July 11, 2018",1.0,4.1 and up
EI国际,Education,4.7,15,5.2M,"1,000+",Free,0,Everyone,"September 9, 2016",1.0.4,4.0 and up
Runner 3d like,Action,4.5,559,32M,"100,000+",Free,0,Everyone 10+,"August 3, 2018",1.0.7,4.0 and up
Evolution CP & IV Calculator for pokemon,Entertainment,4.3,9465,43M,"500,000+",Free,0,Everyone,"July 8, 2018",0.4.6,4.4 and up
Messenger – Text and Video Chat for Free,Communication,4.0,56642847,Varies with device,"1,000,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
Saunders Comprehensive Review NCLEX-PN Examination,Medical,3.7,3,7.7M,"5,000+",Free,0,Everyone,"July 16, 2018",2.7.6,5.0 and up
"VPN - Fast, Secure & Unlimited WiFi with VyprVPN",Tools,4.2,40676,25M,"1,000,000+",Free,0,Everyone,"July 5, 2018",2.27.1,4.1 and up
Time Recording - Timesheet App,Productivity,4.6,23393,Varies with device,"1,000,000+",Free,0,Everyone,"July 12, 2018",Varies with device,Varies with device
Policy And FD Manager,Finance,4.3,20,4.8M,500+,Free,0,Everyone,"June 9, 2018",14,4.4 and up
BU Students' Rep. Council,Education,4.7,38,5.3M,500+,Free,0,Everyone,"July 5, 2018",5.45.0_713,4.0 and up
CB Mobile Biz,Finance,1.0,3,8.4M,500+,Free,0,Everyone,"February 22, 2016",4.4.1255,4.0 and up
Blur Image Background,Photography,3.9,129272,11M,"10,000,000+",Free,0,Everyone,"July 30, 2018",1.32,4.1 and up
Bh Public School,Education,5.0,2,8.7M,10+,Free,0,Everyone,"March 21, 2018",1.2,4.0.3 and up
Commonwealth CU Go Mobile,Finance,4.3,231,18M,"10,000+",Free,0,Everyone,"September 15, 2017",4.4.47,4.0.3 and up
GATE Syllabus for EC 2018 & Notifications,Education,4.7,23,4.3M,"1,000+",Free,0,Everyone,"August 28, 2017",1.3,4.4 and up
CV-RECORD Pro,Communication,2.3,42,6.0M,"1,000+",Paid,$0.99,Everyone,"January 12, 2017",1.0.5,4.1 and up
S’more - Earn Cash Rewards,Productivity,4.1,15097,14M,"1,000,000+",Free,0,Everyone,"July 23, 2018",1.6.0,4.2 and up
Tom Loves Angela,Entertainment,4.1,1111915,50M,"100,000,000+",Free,0,Everyone,"April 30, 2018",2.2.1.3,4.1 and up
I am rich (Most expensive app),Finance,4.1,129,2.7M,"1,000+",Paid,$399.99,Teen,"December 6, 2017",2,4.0.3 and up
BD Sports Box & TV,Entertainment,4.2,5,3.3M,500+,Free,0,Everyone,"April 13, 2018",1.1,4.0.3 and up
DJ Music Pad,Entertainment,3.6,35121,5.1M,"5,000,000+",Free,0,Everyone,"May 22, 2018",1.0.6,4.0 and up
Hideman VPN,Tools,4.1,88675,9.6M,"5,000,000+",Free,0,Everyone,"July 24, 2018",6.0.1,4.0 and up
Calls Blacklist - Call Blocker,Communication,4.5,457283,Varies with device,"10,000,000+",Free,0,Everyone,"May 24, 2018",Varies with device,Varies with device
Earn Money BD,Finance,3.8,103,6.9M,"5,000+",Free,0,Everyone,"July 11, 2018",3.4,4.0 and up
Cal - Google Calendar + Widget,Productivity,4.2,86172,13M,"1,000,000+",Free,0,Everyone,"February 1, 2016",1.1.7,4.0 and up
ParaTek Ai Speech generator,Tools,3.6,448,4.3M,"50,000+",Free,0,Everyone,"March 23, 2017",1.9,1.6 and up
Wolfify - Be a Werewolf,Entertainment,3.8,6760,26M,"500,000+",Free,0,Everyone,"June 11, 2015",1.4.6,3.2 and up
Pixel Gun 3D: Survival shooter & Battle Royale,Action,4.5,4487182,55M,"50,000,000+",Free,0,Teen,"July 4, 2018",15.1.2,4.0.3 and up
Smart Keyboard Trial,Tools,4.1,65597,2.4M,"10,000,000+",Free,0,Everyone,"April 28, 2017",4.20.1,2.3 and up
Blur Image - DSLR focus effect,Photography,3.9,38055,4.1M,"5,000,000+",Free,0,Everyone,"June 16, 2017",1.17,4.0 and up
X-plore File Manager,Tools,4.6,168487,6.4M,"10,000,000+",Free,0,Everyone,"June 26, 2018",4.01.00,4.3 and up
DM for WhatsApp,Communication,4.4,25,2.9M,"5,000+",Free,0,Everyone,"June 3, 2018",0.3.7,4.4 and up
Firefox Focus: The privacy browser,Communication,4.4,36893,4.0M,"1,000,000+",Free,0,Everyone,"July 6, 2018",5.2,5.0 and up
AU Call Blocker - Block Unwanted Calls Texts 2018,Communication,4.2,16,3.3M,"1,000+",Free,0,Everyone,"April 24, 2018",1.0.4,4.1 and up
mySugr: the blood sugar tracker made just for you,Medical,4.6,21187,35M,"1,000,000+",Free,0,Everyone,"July 23, 2018",3.52.0,5.0 and up
CF,Finance,5.0,2,2.0M,100+,Free,0,Everyone,"March 30, 2016",1.1,4.0 and up
Deaf World DW,Communication,4.3,298,Varies with device,"10,000+",Free,0,Teen,"November 28, 2017",Varies with device,4.1 and up
Blood Pressure(BP) Diary,Medical,3.7,3596,8.4M,"1,000,000+",Free,0,Everyone,"July 18, 2018",4.0.9,4.0.3 and up
I Am Rich,Entertainment,3.6,217,4.9M,"10,000+",Paid,$389.99,Everyone,"June 22, 2018",1.5,4.2 and up
Expense IQ Money Manager,Finance,4.4,21570,27M,"1,000,000+",Free,0,Everyone,"June 19, 2018",2.0.4,4.0 and up
FD VR Cardboard Featured 360 Videos,Entertainment,4.2,76,35M,"10,000+",Free,0,Everyone,"December 19, 2017",4.5.1c,4.4 and up
Adblock Browser for Android,Communication,4.1,121113,39M,"10,000,000+",Free,0,Everyone,"July 11, 2018",1.4.0,4.1 and up
"FD Calculator (EMI, SIP, RD & Loan Eligilibility)",Finance,5.0,104,2.3M,"1,000+",Free,0,Everyone,"August 7, 2018",2.1.0,4.1 and up
Dy So Exam,Education,3.0,6,3.2M,"1,000+",Free,0,Everyone,"July 3, 2017",1.0,2.3 and up
UFC,Sports,4.0,30840,Varies with device,"1,000,000+",Free,0,Teen,"May 22, 2018",Varies with device,Varies with device
Cr Aviation Academy,Education,5.0,7,22M,100+,Free,0,Everyone,"August 9, 2017",1.0,4.1 and up
fred's Pharmacy,Medical,3.0,315,22M,"100,000+",Free,0,Everyone,"October 10, 2017",1.0.02,4.0 and up
Messenger Lite: Free Calls & Messages,Communication,4.4,1429038,Varies with device,"100,000,000+",Free,0,Everyone,"July 25, 2018",37.0.0.7.163,2.3 and up
Photo Editor Collage Maker Pro,Photography,4.5,1519671,Varies with device,"100,000,000+",Free,0,Everyone,"February 1, 2018",Varies with device,Varies with device
Google,Tools,4.4,8033493,Varies with device,"1,000,000,000+",Free,0,Everyone,"August 3, 2018",Varies with device,Varies with device
Notepad & To do list,Productivity,4.3,226295,4.2M,"10,000,000+",Free,0,Everyone,"June 6, 2018",4.3.19,2.3.3 and up
ESPN Fantasy Sports,Sports,4.0,176448,10M,"5,000,000+",Free,0,Everyone,"November 21, 2017",5.3.0,4.4 and up
Talking Boyfriend,Entertainment,2.9,1073,2.8M,"100,000+",Free,0,Everyone,"August 28, 2016",1.1,2.3.3 and up
Council Voting Calculator,Communication,3.9,33,3.4M,"5,000+",Free,0,Everyone,"January 6, 2017",2.3.0,4.1 and up
Learn Top 300 English Words,Education,4.7,61600,3.4M,"1,000,000+",Free,0,Everyone,"February 24, 2018",3.1,2.3 and up
O Launcher,Tools,4.3,2059,10M,"100,000+",Free,0,Everyone,"May 22, 2018",1.1.4,5.0 and up
Elevate - Brain Training Games,Education,4.5,248912,Varies with device,"5,000,000+",Free,0,Everyone,"July 30, 2018",Varies with device,Varies with device
AF-STROKE (FREE),Medical,4.5,93,924k,"10,000+",Free,0,Teen,"January 25, 2013",1.1,2.1 and up
Rage Z: Multiplayer Zombie FPS Online Shooter,Action,4.1,11258,44M,"500,000+",Free,0,Mature 17+,"December 8, 2016",1.25,4.2 and up
CrossFire: Legends,Action,4.3,144040,29M,"5,000,000+",Free,0,Teen,"July 25, 2018",1.0.9.10,4.0 and up
Financial Calculator Pro EF,Finance,4.3,634,2.0M,"50,000+",Free,0,Everyone,"October 4, 2013",2.1.0.9,2.1 and up
"Calculator - free calculator, multi calculator app",Tools,4.6,25592,7.5M,"10,000,000+",Free,0,Everyone,"July 31, 2018",v8.0.1.8.0629.1,4.2 and up
Citizens Bank - CB Mobile,Finance,4.8,6,11M,"1,000+",Free,0,Everyone,"August 2, 2018",4.19.62,4.4 and up
Wifi Action Camera,Photography,2.9,118,26M,"50,000+",Free,0,Everyone,"July 24, 2018",1.3.5,4.0 and up
Advanced calculator fx 991 es plus & 991 ms plus,Education,4.7,7252,9.2M,"500,000+",Free,0,Everyone,"August 2, 2018",3.3.1-build-02-08-2018-19-release,4.0 and up
BF Combat: Genesis,Action,4.0,3322,82M,"100,000+",Free,0,Mature 17+,"March 2, 2017",5.1.6,2.3 and up
CT-REMOTE,Action,3.3,19,1.6M,100+,Paid,$4.49,Everyone,"February 10, 2015",1.4,2.3 and up
Sticker Market: Emoji keyboard,Entertainment,4.3,303,44M,"10,000+",Free,0,Teen,"December 14, 2017",1.2.3,4.2 and up
MEGA,Productivity,4.0,549973,Varies with device,"50,000,000+",Free,0,Everyone,"July 4, 2018",Varies with device,Varies with device
Frontline Terrorist Battle Shoot: Free FPS Shooter,Action,4.2,9183,49M,"1,000,000+",Free,0,Mature 17+,"June 22, 2018",1.1,4.4 and up
CB Mobile Access,Finance,1.5,57,25M,"1,000+",Free,0,Everyone,"February 26, 2018",4.3.6,4.2 and up
Basket Manager 2018 Free,Sports,3.4,1520,6.3M,"50,000+",Free,0,Everyone,"April 17, 2018",3.7,4.4 and up
Sport.pl LIVE,Sports,4.4,21733,Varies with device,"1,000,000+",Free,0,Mature 17+,"June 29, 2018",Varies with device,Varies with device
"Cymera Camera- Photo Editor, Filter,Collage,Layout",Photography,4.4,2418165,Varies with device,"100,000,000+",Free,0,Everyone,"July 12, 2018",Varies with device,Varies with device
Ninesky Browser,Communication,4.2,42925,2.8M,"1,000,000+",Free,0,Everyone,"August 27, 2017",6.1,2.3 and up
AAFP,Medical,3.8,63,24M,"10,000+",Free,0,Everyone,"June 22, 2018",2.3.1,5.0 and up
FH® Cost Lookup / FH® CCSalud,Medical,4.5,30,4.1M,"1,000+",Free,0,Everyone,"June 21, 2017",4.1.0,4.0.3 and up
FANDOM for: DC,Entertainment,4.4,6715,9.5M,"500,000+",Free,0,Mature 17+,"July 20, 2018",2.9.8.1,4.4 and up
Samsung Max - Data Savings & Privacy Protection,Tools,4.3,330468,Varies with device,"10,000,000+",Free,0,Everyone,"May 29, 2018",Varies with device,Varies with device
ES Summer Chill Theme for Free,Tools,4.3,940,387k,"100,000+",Free,0,Everyone,"August 24, 2017",2.0.7,4.0 and up
DigiCal Calendar Agenda,Productivity,4.4,133573,Varies with device,"5,000,000+",Free,0,Everyone,"July 3, 2018",Varies with device,Varies with device
CF GeneE,Medical,4.3,16,40M,"1,000+",Free,0,Everyone,"May 31, 2018",5.0.0,4.0 and up
Remote Link (PC Remote),Tools,4.5,87055,Varies with device,"10,000,000+",Free,0,Everyone,"January 3, 2017",Varies with device,Varies with device
AntennaPict β,Communication,4.3,15439,2.2M,"1,000,000+",Free,0,Everyone,"November 7, 2016",2.0.0,2.3 and up
"Learn languages, grammar & vocabulary with Memrise",Education,4.7,1107948,Varies with device,"10,000,000+",Free,0,Everyone,"August 2, 2018",Varies with device,Varies with device
PrimeDelivery,Medical,5.0,3,53M,10+,Free,0,Everyone,"July 13, 2018",0.1,4.1 and up
Block Gun 3D: Call of Destiny,Action,3.7,31883,20M,"1,000,000+",Free,0,Teen,"March 23, 2017",1.4.3,2.3 and up
Camera360: Selfie Photo Editor with Funny Sticker,Photography,4.3,4865132,51M,"100,000,000+",Free,0,Everyone,"August 6, 2018",9.3.1,4.0.3 and up
Lottery Results: Florida,Entertainment,4.2,582,3.2M,"100,000+",Free,0,Teen,"January 22, 2018",4.0,4.0 and up
Next Gen Science Standards,Education,4.3,206,18M,"50,000+",Free,0,Everyone,"December 20, 2016",1.12.1,2.3 and up
Jarvis artificial intelligent,Entertainment,3.9,253,14M,"10,000+",Free,0,Everyone,"March 28, 2018",1.1,2.3 and up
Stick 'Em Up 2 Starter Edition,Action,3.8,2102,40M,"100,000+",Free,0,Everyone 10+,"September 11, 2015",1.1.3,4.0.3 and up
The DL Hughley Show,Entertainment,4.3,23,11M,"5,000+",Free,0,Everyone,"May 29, 2018",3.1.2,5.0 and up
Adobe Acrobat Reader,Productivity,4.3,3016297,Varies with device,"100,000,000+",Free,0,Everyone,"April 17, 2018",Varies with device,Varies with device
Cheats for GTA V,Entertainment,4.2,450,5.9M,"100,000+",Free,0,Everyone,"July 29, 2018",6,4.0 and up
Cameringo+ Filters Camera,Photography,4.6,28107,5.7M,"500,000+",Paid,$2.99,Everyone,"June 11, 2018",2.8.26,4.0 and up
MARCA - Sports Leader Diary,Sports,3.9,76346,14M,"5,000,000+",Free,0,Everyone,"July 25, 2018",6.3.3,4.1 and up
MazeMilitia Classic Multiplayer Shooting Game,Action,4.4,1294,44M,"50,000+",Free,0,Mature 17+,"March 8, 2018",1.2,4.1 and up
Sin City Hero : Crime Simulator of Vegas,Action,4.1,3371,78M,"100,000+",Free,0,Teen,"September 8, 2017",1.1,4.0.3 and up
Photo BG Changer,Photography,3.8,11,17M,"1,000+",Free,0,Everyone,"February 21, 2018",1.3,4.1 and up
Dropbox,Productivity,4.4,1861309,61M,"500,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
RULES OF SURVIVAL,Action,4.2,1343106,56M,"10,000,000+",Free,0,Teen,"August 1, 2018",1.180271.184729,4.0 and up
DV-2019 Results,Entertainment,4.3,158,2.6M,"10,000+",Free,0,Everyone,"June 14, 2018",17.0,4.0 and up
Auto Dslr Photo Effect : Auto Focus Effect,Photography,3.8,6,3.5M,"1,000+",Free,0,Everyone,"February 20, 2018",1.6,4.0.3 and up
Banana Kong,Action,4.4,3452530,68M,"100,000,000+",Free,0,Everyone,"February 7, 2018",1.9.6.6,4.0.3 and up
Bluetooth Control BT->uC FREE,Tools,3.8,67,2.7M,"10,000+",Free,0,Everyone,"June 6, 2016",1.9.0,3.0 and up
WhatsVPN - Unlimited Free VPN,Tools,4.7,24985,7.8M,"500,000+",Free,0,Everyone,"July 27, 2018",2.2.927,4.1 and up
TOSHIBA Smart AC,Tools,2.6,60,18M,"10,000+",Free,0,Everyone,"August 4, 2018",2.1.20180804_01,4.0.3 and up
AppLock,Tools,4.4,4931562,Varies with device,"100,000,000+",Free,0,Everyone,"June 11, 2018",Varies with device,Varies with device
Arizona Mobile,Education,4.3,285,6.2M,"10,000+",Free,0,Everyone,"November 7, 2017",4.7,4.1 and up
FC Red Bull Salzburg App,Sports,4.5,1526,89M,"50,000+",Free,0,Everyone,"August 7, 2018",4.0.4-R,5.0 and up
T-Mobile Visual Voicemail,Tools,3.6,41502,Varies with device,"50,000,000+",Free,0,Everyone,"July 31, 2018",Varies with device,Varies with device
Business Calendar Pro,Productivity,4.6,27135,Varies with device,"100,000+",Paid,$4.99,Everyone,"May 24, 2018",Varies with device,Varies with device
QRZ Assistant,Communication,4.2,1044,3.5M,"100,000+",Free,0,Everyone,"May 30, 2018",2.0,4.4 and up
Remind: School Communication,Education,4.5,108613,Varies with device,"10,000,000+",Free,0,Everyone,"August 3, 2018",Varies with device,Varies with device
Nemours CareConnect,Medical,4.4,65,37M,"10,000+",Free,0,Everyone,"April 5, 2018",10.4.1.000_00,4.0.3 and up
F*ck This Game,Action,4.6,8,6.3M,100+,Paid,$0.99,Teen,"July 18, 2015",1.0.0,2.3 and up
Nusenda CU– Mobile Banking,Finance,3.5,805,6.5M,"50,000+",Free,0,Everyone,"July 17, 2018",5.4.5,5.0 and up
Photo Collage - InstaMag,Photography,4.3,542561,46M,"10,000,000+",Free,0,Everyone,"January 2, 2018",4.7.0,4.0 and up
Deck Builder & Analyzer for CR,Entertainment,3.1,52,9.8M,"5,000+",Free,0,Everyone,"May 4, 2017",1.0,4.0.3 and up
NQ Mobile Security & Antivirus,Productivity,4.4,427185,Varies with device,"10,000,000+",Free,0,Teen,"June 8, 2018",Varies with device,Varies with device
BF Frontline City,Action,4.1,29798,80M,"1,000,000+",Free,0,Mature 17+,"March 6, 2017",5.1.7,2.3 and up
Banfield Pet Health Tracker,Medical,4.2,1747,5.9M,"100,000+",Free,0,Everyone,"October 17, 2016",1.2.2,4.0 and up
The CW,Entertainment,4.4,288150,21M,"5,000,000+",Free,0,Teen,"July 23, 2018",2.17,4.4 and up
C-SPAN Radio,Entertainment,3.6,608,5.4M,"100,000+",Free,0,Everyone,"May 17, 2018",4.3.2,4.1 and up
Poke Genie - Safe IV Calculator,Tools,4.7,92958,36M,"1,000,000+",Free,0,Everyone,"July 27, 2018",1.13.0,5.0 and up
AC Remote for Carrier - NOW FREE,Tools,3.7,163,26M,"10,000+",Free,0,Everyone,"July 30, 2018",6.1.7,4.2 and up
Victoria EC,Tools,5.0,5,3.8M,500+,Free,0,Everyone,"March 30, 2018",1.283.0037,2.3.3 and up
Diabetes & Diet Tracker,Medical,4.6,395,19M,"1,000+",Paid,$9.99,Everyone,"July 16, 2018",6.5.1,5.0 and up
Watch AW-7,Tools,4.2,249,3.0M,"50,000+",Free,0,Everyone,"March 17, 2018",2.0,4.3 and up
Blood Pressure Log - bpresso.com,Medical,4.2,5661,Varies with device,"500,000+",Free,0,Everyone,"April 19, 2017",Varies with device,Varies with device
Comedy Central,Entertainment,3.9,22378,19M,"1,000,000+",Free,0,Teen,"July 8, 2018",11.45.0,4.4 and up
Mail1Click - Secure Mail,Communication,4.1,255,1.6M,"10,000+",Free,0,Everyone,"April 11, 2017",2.3,2.2 and up
M Notifier for M Launcher,Tools,4.2,2803,1.4M,"100,000+",Free,0,Everyone,"February 15, 2017",1.0.4,4.0 and up
Soccer 2018,Sports,3.5,172373,47M,"10,000,000+",Free,0,Everyone,"July 12, 2018",1.3,4.3 and up
Bestie - Camera360 Selfie,Photography,4.5,512996,23M,"10,000,000+",Free,0,Everyone,"August 2, 2018",4.0.3.5,4.1 and up
WithstandZ - Zombie Survival!,Action,4.3,121612,59M,"1,000,000+",Free,0,Teen,"December 28, 2017",1.0.6.4,4.0 and up
Universal AC Remote Control Simulator,Entertainment,3.0,119,3.9M,"50,000+",Free,0,Everyone,"December 22, 2017",1.0,4.0 and up
ASUS Calling Screen,Productivity,4.2,102451,Varies with device,"10,000,000+",Free,0,Everyone,"March 15, 2018",Varies with device,Varies with device
"TickTick: To Do List with Reminder, Day Planner",Productivity,4.6,25370,Varies with device,"1,000,000+",Free,0,Everyone,"August 6, 2018",Varies with device,Varies with device
BlackCam Pro - B&W Camera,Photography,4.5,1376,5.5M,"100,000+",Paid,$1.49,Everyone,"March 26, 2018",1.51,4.0 and up
Major Mayhem,Action,4.6,520962,39M,"10,000,000+",Free,0,Teen,"June 28, 2017",108,4.0 and up
NB|AZ Mobile Banking,Finance,4.0,463,13M,"10,000+",Free,0,Everyone,"April 5, 2018",4.2.31,4.2 and up
US Open Tennis Championships 2018,Sports,4.0,9971,33M,"1,000,000+",Free,0,Everyone,"June 5, 2018",7.1,5.0 and up
Simple - Better Banking,Finance,4.4,7731,24M,"100,000+",Free,0,Everyone,"August 2, 2018",2.53.2,5.0 and up
BA Pro Financial Calculator,Finance,2.4,36,9.4M,"1,000+",Paid,$1.99,Everyone,"November 16, 2015",1.3.3,2.3 and up
Blood Pressure Tracker,Medical,4.0,11,1.8M,"1,000+",Free,0,Everyone,"November 8, 2017",1.1.1,4.0 and up
Kaspersky Mobile Antivirus: AppLock & Web Security,Tools,4.7,2598579,49M,"50,000,000+",Free,0,Everyone,"July 24, 2018",11.17.4.1024,4.1 and up
Flashlight X,Tools,4.6,20418,4.3M,"1,000,000+",Free,0,Everyone,"April 8, 2018",4.54,4.0 and up
Yahoo Mail – Stay Organized,Communication,4.3,4187998,16M,"100,000,000+",Free,0,Everyone,"July 18, 2018",5.29.3,4.4 and up
A&E - Watch Full Episodes of TV Shows,Entertainment,4.0,29706,19M,"1,000,000+",Free,0,Teen,"July 16, 2018",3.1.4,4.4 and up
Google Keep,Productivity,4.4,691474,Varies with device,"100,000,000+",Free,0,Everyone,"August 6, 2018",Varies with device,Varies with device
WeChat,Communication,4.2,5387446,Varies with device,"100,000,000+",Free,0,Everyone,"July 31, 2018",Varies with device,Varies with device
True Skate,Sports,4.4,129409,73M,"1,000,000+",Paid,$1.99,Everyone,"August 4, 2018",1.5.1,4.0.3 and up
Khan Academy,Education,4.6,85375,21M,"5,000,000+",Free,0,Everyone,"July 27, 2018",5.0.0,4.1 and up
BQ Services,Tools,3.7,5004,2.5M,"1,000,000+",Free,0,Everyone,"July 9, 2018",8.3.6-e04ac87,Varies with device
Yahoo Fantasy Sports - #1 Rated Fantasy App,Sports,4.2,277900,Varies with device,"5,000,000+",Free,0,Mature 17+,"August 2, 2018",Varies with device,Varies with device
